Player,Year,Team,Position,Games Played,Win percentage,KDA,KP,DTH%,GD@10,XPD@10,CSPM,DPM,DMG%,GOLD%,WPM,WCPM,Teams trajectory,Dates
113,2023,Astralis,Jungle,42,40%,2.5,74.5%,22.2%,-183,-179,4.5,303,14.8%,16.9%,0.31,0.30,"['SUP Academy', 'Vodafone Giants', 'Karmine Corp', 'Astralis']","[('Jan 2020', 'May 2021'), ('May 2021', 'Nov 2021'), ('Nov 2021', 'Nov 2022'), ('Dec 2022', 'present')]"
113,2022,Karmine Corp,Jungle,85,62%,3.0,67.9%,28.7%,86,-18,5.2,326,14.1%,15.9%,0.36,0.31,"['SUP Academy', 'Vodafone Giants', 'Karmine Corp', 'Astralis']","[('Jan 2020', 'May 2021'), ('May 2021', 'Nov 2021'), ('Nov 2021', 'Nov 2022'), ('Dec 2022', 'present')]"
113,2021,Giants,Jungle,41,54%,2.6,71.6%,26.3%,10,-90,5.2,398,19.3%,18.2%,0.43,0.28,"['SUP Academy', 'Vodafone Giants', 'Karmine Corp', 'Astralis']","[('Jan 2020', 'May 2021'), ('May 2021', 'Nov 2021'), ('Nov 2021', 'Nov 2022'), ('Dec 2022', 'present')]"
113,2021,SuperMassive Academy,Jungle,23,57%,4.5,73.7%,19.7%,212,88,6.0,369,21.2%,19.8%,0.35,0.32,"['SUP Academy', 'Vodafone Giants', 'Karmine Corp', 'Astralis']","[('Jan 2020', 'May 2021'), ('May 2021', 'Nov 2021'), ('Nov 2021', 'Nov 2022'), ('Dec 2022', 'present')]"
113,2020,SuperMassive Academy,Jungle,32,44%,3.0,69.8%,23.1%,89,5,4.8,300,16.7%,18.0%,0.50,0.33,"['SUP Academy', 'Vodafone Giants', 'Karmine Corp', 'Astralis']","[('Jan 2020', 'May 2021'), ('May 2021', 'Nov 2021'), ('Nov 2021', 'Nov 2022'), ('Dec 2022', 'present')]"
Elyoya,2023,MAD Lions,Jungle,74,51%,4.0,72.0%,17.2%,40,44,5.3,321,13.8%,18.3%,0.41,0.40,"['iNAT Gaming', 'GGaming', 'Movistar Academy', 'Movistar Riders', 'MAD Lions']","[('Dec 2018', '≈Mar 2019'), ('Mar 2019', '≈Jun 2019'), ('Jul 2019', 'Oct 2019'), ('Oct 2019', 'Nov 2020'), ('Nov 2020', 'present')]"
Elyoya,2022,MAD Lions,Jungle,57,51%,4.0,74.1%,18.9%,193,154,5.6,300,15.4%,18.7%,0.37,0.50,"['iNAT Gaming', 'GGaming', 'Movistar Academy', 'Movistar Riders', 'MAD Lions']","[('Dec 2018', '≈Mar 2019'), ('Mar 2019', '≈Jun 2019'), ('Jul 2019', 'Oct 2019'), ('Oct 2019', 'Nov 2020'), ('Nov 2020', 'present')]"
Elyoya,2021,MAD Lions,Jungle,91,62%,4.7,71.3%,17.0%,59,72,5.9,321,15.4%,18.7%,0.44,0.38,"['iNAT Gaming', 'GGaming', 'Movistar Academy', 'Movistar Riders', 'MAD Lions']","[('Dec 2018', '≈Mar 2019'), ('Mar 2019', '≈Jun 2019'), ('Jul 2019', 'Oct 2019'), ('Oct 2019', 'Nov 2020'), ('Nov 2020', 'present')]"
Elyoya,2021,MAD Lions,Middle,1,0%,1.8,64.7%,20.7%,-217,-483,6.7,503,26.3%,21.9%,0.18,0.18,"['iNAT Gaming', 'GGaming', 'Movistar Academy', 'Movistar Riders', 'MAD Lions']","[('Dec 2018', '≈Mar 2019'), ('Mar 2019', '≈Jun 2019'), ('Jul 2019', 'Oct 2019'), ('Oct 2019', 'Nov 2020'), ('Nov 2020', 'present')]"
Elyoya,2020,Movistar Riders,Jungle,72,72%,6.3,72.9%,15.8%,206,274,6.1,336,16.2%,19.2%,0.46,0.47,"['iNAT Gaming', 'GGaming', 'Movistar Academy', 'Movistar Riders', 'MAD Lions']","[('Dec 2018', '≈Mar 2019'), ('Mar 2019', '≈Jun 2019'), ('Jul 2019', 'Oct 2019'), ('Oct 2019', 'Nov 2020'), ('Nov 2020', 'present')]"
Elyoya,2020,Movistar Riders,Middle,1,100%,12.5,71.4%,12.5%,109,503,8.6,768,24.4%,24.4%,0.20,0.71,"['iNAT Gaming', 'GGaming', 'Movistar Academy', 'Movistar Riders', 'MAD Lions']","[('Dec 2018', '≈Mar 2019'), ('Mar 2019', '≈Jun 2019'), ('Jul 2019', 'Oct 2019'), ('Oct 2019', 'Nov 2020'), ('Nov 2020', 'present')]"
